0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/resources/image/LogoNew.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:35 +0530] "GET /MobileStore/admin/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:02:36 +0530] "GET /MobileStore/admin/engine1/style.css HTTP/1.1" 404 992
127.0.0.1 - - [06/Jun/2017:10:07:52 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:56 +0530] "GET /MobileStore/ HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:56 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:56 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:56 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:56 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/LogoNew.png HTTP/1.1" 200 31086
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone1.jpg HTTP/1.1" 200 218123
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone2.jpg HTTP/1.1" 200 237158
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone3.jpg HTTP/1.1" 200 1139072
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone4.jpg HTTP/1.1" 200 110486
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone7.jpg HTTP/1.1" 200 179681
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/resources/image/phone5.jpg HTTP/1.1" 200 1285501
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:57 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:58 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:07:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:25 +0530] "GET /MobileStore/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:25 +0530] "GET /MobileStore/login HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "POST /MobileStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:39 +0530] "GET /MobileStore/admin/add HTTP/1.1" 200 13381
