0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:02 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:03 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/productList HTTP/1.1" 200 9223
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:26 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:27 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:46 +0530] "GET /MobileStore/productList HTTP/1.1" 200 9223
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:47 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:47 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:47 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:47 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:47 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:48 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:48 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:48 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:49 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:49 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:49 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:16:49 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:09 +0530] "GET /MobileStore/productList HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:09 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:09 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:09 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:09 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:10 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:10 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:11 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:11 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:11 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:17:11 +0530] "GET /MobileStore/resources/product/11.jpg HTTP/1.1" 404 992
